Path,FileName,From,To,Sent,Subject,Content
pdf/mette/EFTA01750875.pdf,EFTA01750875.pdf,Boris Nikolic,Jeffrey Epstein,2014-06-06 12:34:27+00:00,RE: amFAR Inspiration gala,"Palo Alto is like a village.

Seattle looks and feels like metropolis compared to it.

I might need to live in San Francisco and commute.

I am meeting few friends (that live between SF and Palo Alto) before my red eye flight to NYC and will

get their input.

B

From: Jeffrey E. imailtoleevacation@gmail.com]

Sent: Friday, June 6, 2014 7:28 AM

To: Boris Nikolic

Subject: Re: amFAR Inspiration gala

find a nice place to live so you are happy there"
pdf/mette/EFTA01924767.pdf,EFTA01924767.pdf,Jeffrey Epstein,Boris Nikolic,2014-06-06 12:27:52+00:00,Re: amFAR Inspiration gala,"find a nice place to live so you are happy there

 ** Pages have been removed, see source for all pages **"
pdf/mette/EFTA00990825.pdf,EFTA00990825.pdf,Jeffrey Epstein,Boris Nikolic,2014-06-06 09:00:27+00:00,Re: amFAR Inspiration gala,skip. I will leave tuesday at 5 then thanks for the warning
pdf/mette/EFTA01919412.pdf,EFTA01919412.pdf,Boris Nikolic,Jeffrey Epstein,2014-06-06 00:55:15+00:00,amFAR Inspiration gala,"I just found out that this is INSPIRATION gala and not a regular gala.

It means that it will be MAN fashion show (40 guys — many of them half dressed) - you can scc

pictures below from a last year Inspiration Gala.

https: //www sonic, com/search?q=amfar+inspiration+gala+20 I 3&source=lnms&tbm=isch&sa=X

&ei=wCuRU73jINC6oOTgolIC4BA&ved=0CAcQ_AUoAg&biw2&bih= I 238kramfar+ins

piration-Fgala-Ffashion+show&tbm=isch

They will have 6 girls as well — but it is 40 vs 6.

Please let me know if you are still interested as now I am worried that it might be way TOO

GAY!

Once again — you were right!

I was always going to amfar Gala which are less gay but Inspiration are much more!

If you would rather skip it, I will organize some other time to meet Mette — she is around Monday

and Tuesday.

Please let me know asap

EFTA_R1_00361614

EFTA01919412"
pdf/mette/EFTA02717724.pdf,EFTA02717724.pdf,Boris Nikolic,Jeffrey Epstein,2014-05-22 02:43:00+00:00,FW: Inspiration New York e-vite,"Attachments: I N NY- EVITE-10Bjpg

<=p>

Attached is info re amFAR=gala where Mette is getting an honor.

<=p>

Not sure if you are inter=sted getting a table (for girls, plus Peter Thiel, plus Eva and you).=/o:p>

<=p>

It will be somewhat gay &1; so you will need some girls around ;)

<=p>

You can find info in a li=k below.

From: Zackar= Hemenway [mailto

Sent: Thursday, May 15, 2014 1:20 PM

To: Boris Nikolic

Subject: Inspiration New York e-vite

Hi Boris:

Thank you for helping us make the Inspiration Gala N=w York come together. We are very excited for the event and

couldn't have =one it without you.

I wanted to send the e-vite to you so you can share =ith your circle of friends in case there was anyone else who would

be inte=ested in purchasing a ticket or table.

EFTA_R1_02165364

EFTA02717724

See attached for the e•vite and below for a link to =urchase online.

https://www.k i ntera.org/AutoGen/Register/EC=eg.asp?ievent4672&en=lwL3K9PQLk LVK9PYKeKSId P3Kw12K8OU Kk

K3KgNVI=LTIeN7IAL

chttps://www.kintera.org/AutoGen/Register/=CReg.asp?ievent4672&en=lwL3K9POLkLVK9PYKeKSIdP3Kw.I2KBOUK

kK3KgN=IiLTIeN7IAL>

Best,

Zack Hemenway

Josh Wood Productions

www.joshwordproductions.com O"
pdf/kronprinsessen/EFTA00986591.pdf,EFTA00986591.pdf,Jeffrey Epstein,Boris Nikolic,2014-03-30 19:43:27+00:00,CENSORED,"origins institue tempe arizona. , violinece humanity,"
pdf/kronprinsessen/EFTA01931545.pdf,EFTA01931545.pdf,Jeffrey Epstein,Boris Nikolic,2014-03-30 17:43:27+00:00,,
pdf/kronprinsessen/EFTA02582200.pdf,EFTA02582200.pdf,Jeffrey Epstein,Boris Nikolic,2014-03-30 17:43:00+00:00,,
pdf/mette/EFTA02373909.pdf,EFTA02373909.pdf,Boris Nikolic,Jeffrey Epstein,2013-11-13 21:54:00+00:00,fyi,"http://www.hellomagazine.coqroyalty/2013111315637/princess-mette-marit-neck-operation/ Will keep you posted. I am talking to Hakkon non-sto= and he will be with her during a surgery.

B

1

EFTA_R1_01380233

EFTA02373909"
pdf/mette-marit/EFTA02373909.pdf,EFTA02373909.pdf,Boris Nikolic,Jeffrey Epstein,2013-11-13 21:54:00+00:00,fyi,"http://www.hellomagazine.coqroyalty/2013111315637/princess-mette-marit-neck-operation/ Will keep you posted. I am talking to Hakkon non-sto= and he will be with her during a surgery.

B

1

EFTA_R1_01380233

EFTA02373909"
pdf/mette/EFTA00871895.pdf,EFTA00871895.pdf,Jeffrey Epstein,Boris Nikolic,2013-11-10 18:06:29+00:00,Re:,
pdf/mette/EFTA01951939.pdf,EFTA01951939.pdf,Jeffrey Epstein,Boris Nikolic,2013-11-10 17:06:29+00:00,Re:,
pdf/mette/EFTA01754399.pdf,EFTA01754399.pdf,Boris Nikolic,Jeffrey Epstein,2013-11-10 17:03:38+00:00,RE:,"Please let me know when you can talk.

Have news

B

From: Jeffrey Epstein [mailto:jeevacation@gmail.comj

Sent: Sunday, November 10, 2013 1:12 AM

To: Boris Nikolic

Subject:

I can have someone go , tucsday , but your contract should be subject to inspection./ I will

go on the 12 th to yuri with you. / give mette a hug, / need 2 hrs bill time. /"
pdf/mette/EFTA00975556.pdf,EFTA00975556.pdf,Jeffrey Epstein,Boris Nikolic,2013-11-10 00:11:46+00:00,CENSORED,"I can have someone go , tuesday , but your contract should be subject to inspection./ I will go on the 12 th to

yuri with you. I give mette a hug, I need 2 hrs bill time. I"
pdf/mette/EFTA01946867.pdf,EFTA01946867.pdf,Jeffrey Epstein,Boris Nikolic,2013-11-09 23:11:46+00:00,,
pdf/kronprinsessen/EFTA00973442.pdf,EFTA00973442.pdf,Jeffrey Epstein,Boris Nikolic,2013-10-22 22:28:49+00:00,Re:,the news said she is out of commision until xmas
pdf/kronprinsessen/EFTA00676010.pdf,EFTA00676010.pdf,Boris Nikolic,Jeffrey Epstein,2013-10-22 22:23:22+00:00,RE:,"Lets all of us go to jee's island to recover on a sun 0

B"
pdf/kronprinsessen/EFTA02576070.pdf,EFTA02576070.pdf,Jeffrey Epstein,Boris Nikolic,2013-10-22 20:29:00+00:00,Re:,"the news said she is out of commision until xmas

=div class=""gmail_extra"">

On Tue, Oct 2=, 2013 at 6:23 PM, Boris Nikolic < > wr=te:

Lets all of us=go to jee's island to recover on a sun

B"
pdf/kronprinsessen/EFTA01952894.pdf,EFTA01952894.pdf,Jeffrey Epstein,Boris Nikolic,2013-10-22 20:28:49+00:00,Re:,the news said she is out of coramision until xmas
pdf/kronprinsessen/EFTA01753717.pdf,EFTA01753717.pdf,Boris Nikolic,Jeffrey Epstein,2013-10-22 20:23:22+00:00,RE:,"Lets all of us go to jee's island to recover on a sun

B"
pdf/kronprinsessen/EFTA01952835.pdf,EFTA01952835.pdf,Boris Nikolic,Jeffrey Epstein,2013-10-22 20:23:22+00:00,RE:,"Lets all of us go to jee's island to recover on a sun

B"
pdf/kronprinsessen/EFTA01949255.pdf,EFTA01949255.pdf,Jeffrey Epstein,Boris Nikolic,2013-10-22 15:58:57+00:00,,
pdf/mette/EFTA00965285.pdf,EFTA00965285.pdf,Jeffrey Epstein,Boris Nikolic,2013-07-14 22:45:29+00:00,CENSORED,"While they are in Norway, Bill and Melinda might enjoy meeting Terje and his wife, ( also a diplomat, she was

nominated to be Ambassador to the US ) , and/or Thjorbom Jagland and his wife, both have houses on the

fjords, I can arrange it if Bill wants. I assume they will meet Mette and Halken anyway.

I will be able to speak with Larry late in the day tomorrow. This week I am swamped . I see now, that even late

friday won't work. for Bill. I can confirm the 8th or 9th ( dinner ? ) I might be able to travel to Norway , if he

would enjoy that , but I obviously need to better understand the reason for the deadline. Is there some sort of

public filing requirement for the foundation? Would a signed but undated letter of resignation satisfy Meilinda's

requirements. ?"
pdf/mette/EFTA01967734.pdf,EFTA01967734.pdf,Jeffrey Epstein,Boris Nikolic,2013-07-14 20:45:29+00:00,,
pdf/mette/EFTA00961619.pdf,EFTA00961619.pdf,Boris Nikolic,Jeffrey Epstein,2013-06-03 02:25:59+00:00,RE:,"A lot of fun here.

We did not go surfing but visiting various temples, sites etc. Some parts are spectacular.

The only problem is that I have never been so disconnected.

The whole country does not allow cell phone roaming so no phones work here.

Also wifi is only at the airport and at the main hotel — no where else.

I was talking about you a LOT with Mette. You have been missed!!!!

I am leaving tmr night for Tokyo.

Talk soon

B

From: Jeffrey Epstein [mailto:jeevacation@gmail.com]

Sent: Sunday, lune 2, 2013 7:33 AM

To: Boris Nikolic

Subject:

how is the surfing"
pdf/mette/EFTA01968388.pdf,EFTA01968388.pdf,Boris Nikolic,Jeffrey Epstein,2013-06-03 01:53:29+00:00,sitting next to Mette,"She is trying to show me developing world.

Melanie told her that I do not like poverty.

You would LOVE it.

Hi jefficyu

Im happy

Hiow are you ? Miss you tons

Come see me soon

Mmm

EFTA_R1_00448053

EFTA01968388"
pdf/mette/EFTA01758218.pdf,EFTA01758218.pdf,Boris Nikolic,Jeffrey Epstein,2013-06-03 00:26:00+00:00,RE:,"A lot of fun here. <=p>

We did not go surfing but=visiting various temples, sites etc. Some parts are spectacular.

<=p>

The only problem is that = have never been so disconnected.

<=p>

The whole country does no= allow cell phone roaming so no phones work here.

<=p>

Also wife is only at the =irport and at the main hotel — no where else.

<=p>

I was talking about you a=LOT with Mette. You have been missed!!!!

<=p>

I am leaving tmr night fo= Tokyo.

<=p>

Talk soon

<=p>

B

From: Jeffre= Epstein [mailto:jeevacation@gmail.comj

Sent: Sunday, June 2, 2013 7:33 AM

To: Boris Nikolic

Subject:

EFTA_R1_00061000

EFTA01758218

how is the surfing"
pdf/mette/EFTA00958153.pdf,EFTA00958153.pdf,Jeffrey Epstein,Boris Nikolic,2013-04-10 13:24:23+00:00,Re:,call now?
pdf/mette/EFTA00958152.pdf,EFTA00958152.pdf,Boris Nikolic,Jeffrey Epstein,2013-04-10 13:23:18+00:00,RE:,"Yes—any time you can talk. My mtg starts at 11am

From: Jeffrey Epstein [mailto:jeeyacation@gmail.com]

Sent: Wednesday, April 10, 2013 9:23 AM

To: Boris Nikolic

Subject:

lets talk salina chow.? house. ? jawbone? bill schedule ? terje, ? mette? melz"
pdf/mette/EFTA00958149.pdf,EFTA00958149.pdf,Jeffrey Epstein,Boris Nikolic,2013-04-10 13:22:31+00:00,CENSORED,"lets talk salina chow.? house. ? jawbone? bill schedule ? tede, ? mette? melz"
pdf/mette/EFTA01900538.pdf,EFTA01900538.pdf,Jeffrey Epstein,Boris Nikolic,2013-04-10 11:24:23+00:00,Re:,cal tow?
